السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,47,,,,,,,,,,
2025,3,منطقة المدينة المنورة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,4,,,,,,,,,,
2025,3,منطقة تبوك,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,4,,,,,,,,,,
2025,3,منطقة جازان,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,6,,,,,,,,,,
2025,3,منطقة حائل,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,2,,,,,,,,,,
2025,3,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,6,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,36,,,,,,,,,,
2025,3,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,7,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,2,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,22,,,,,,,,,,
2025,3,منطقة المدينة المنورة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,1,,,,,,,,,,
2025,3,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,1,,,,,,,,,,
2025,3,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,3,,,,,,,,,,
2025,3,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,2,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,كبيرة,11,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,كبيرة,6,,,,,,,,,,
2025,3,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,590,,,,,,,,,,
2025,3,منطقة الباحة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,46,,,,,,,,,,
2025,3,منطقة الجوف,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,80,,,,,,,,,,
2025,3,منطقة الحدود الشمالية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,68,,,,,,,,,,
2025,3,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1573,,,,,,,,,,
2025,3,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,390,,,,,,,,,,
2025,3,منطقة المدينة المنورة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,214,,,,,,,,,,
2025,3,منطقة تبوك,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,157,,,,,,,,,,
2025,3,منطقة جازان,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,218,,,,,,,,,,
2025,3,منطقة حائل,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,189,,,,,,,,,,
2025,3,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,458,,,,,,,,,,
