السنة,الربع,المنطقة ,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,4,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,927,,,,,,,,,,
2025,4,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,182,,,,,,,,,,
2025,4,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,6,,,,,,,,,,
2025,4,منطقة الباحة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,41,,,,,,,,,,
2025,4,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,5,,,,,,,,,,
2025,4,منطقة تبوك,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة جازان,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1,,,,,,,,,,
2025,4,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,4,,,,,,,,,,
2025,4,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,13,,,,,,,,,,
2025,4,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,1,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,13,,,,,,,,,,
2025,4,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,3,,,,,,,,,,
2025,4,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,1,,,,,,,,,,
2025,4,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,2,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متوسطة,9,,,,,,,,,,
2025,4,المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,صغيرة,39,,,,,,,,,,
2025,4,منطقة الباحة,إصلاح وتركيب الآلات والمعدات,صغيرة,1,,,,,,,,,,
2025,4,منطقة الجوف,إصلاح وتركيب الآلات والمعدات,صغيرة,4,,,,,,,,,,
2025,4,منطقة الرياض,إصلاح وتركيب الآلات والمعدات,صغيرة,231,,,,,,,,,,
2025,4,منطقة القصيم,إصلاح وتركيب الآلات والمعدات,صغيرة,31,,,,,,,,,,
2025,4,منطقة المدينة المنورة,إصلاح وتركيب الآلات والمعدات,صغيرة,11,,,,,,,,,,
2025,4,منطقة تبوك,إصلاح وتركيب الآلات والمعدات,صغيرة,1,,,,,,,,,,
