السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,1,منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,1,,,,,,,,,,
2025,1,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,5,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,3,,,,,,,,,,
2025,1,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,صغيرة,3,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,19,,,,,,,,,,
2025,1,منطقة الباحة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,1,منطقة الجوف,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,2,,,,,,,,,,
2025,1,منطقة الحدود الشمالية,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,83,,,,,,,,,,
2025,1,منطقة القصيم,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,5,,,,,,,,,,
2025,1,منطقة المدينة المنورة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,11,,,,,,,,,,
2025,1,منطقة تبوك,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,7,,,,,,,,,,
2025,1,منطقة جازان,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,7,,,,,,,,,,
2025,1,منطقة حائل,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,4,,,,,,,,,,
2025,1,منطقة عسير,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,6,,,,,,,,,,
2025,1,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,75,,,,,,,,,,
2025,1,منطقة نجران,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,2,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,13,,,,,,,,,,
2025,1,منطقة القصيم,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,1,,,,,,,,,,
2025,1,منطقة مكة المكرمة,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متناهية الصغر,5,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,متوسطة,1,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,1,منطقة جازان,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,1,المنطقة الشرقية,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
2025,1,منطقة الرياض,أنشطة الأمن والتحقيقات,صغيرة,4,,,,,,,,,,
2025,1,منطقة عسير,أنشطة الأمن والتحقيقات,صغيرة,1,,,,,,,,,,
