السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,2,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,3,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,كبيرة,3,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,كبيرة,1,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,594,,,,,,,,,,
2025,2,منطقة الباحة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,47,,,,,,,,,,
2025,2,منطقة الجوف,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,92,,,,,,,,,,
2025,2,منطقة الحدود الشمالية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,72,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1585,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,393,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,213,,,,,,,,,,
2025,2,منطقة تبوك,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,163,,,,,,,,,,
2025,2,منطقة جازان,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,220,,,,,,,,,,
2025,2,منطقة حائل,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,188,,,,,,,,,,
2025,2,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,481,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,950,,,,,,,,,,
2025,2,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,188,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,7,,,,,,,,,,
2025,2,منطقة الباحة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,40,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,متناهية الصغر,4,,,,,,,,,,
